Unnamed: 0,single,cluster,total_cell_in_cluster,cell_ratio,single.1,cluster.1,total_cell_in_cluster.1,cell_ratio.1,single.1.1,cluster.1.1,total_cell_in_cluster.1.1,cell_ratio.1.1,single.1.1.1,cluster.1.1.1,total_cell_in_cluster.1.1.1,cell_ratio.1.1.1,single.1.1.1.1,cluster.1.1.1.1,total_cell_in_cluster.1.1.1.1,cell_ratio.1.1.1.1,single.1.1.1.1.1,cluster.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1,cell_ratio.1.1.1.1.1,single.1.1.1.1.1.1,cluster.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1,single.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1,single,cluster,total_cell_in_cluster,cell_ratio
0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0
1,4,3,29,87.87878787878788,0,7,70,100.0,1,5,27,96.42857142857144,2,3,21,91.30434782608695,3,6,42,93.33333333333331,0,5,16,100.0,4,4,23,85.18518518518519,5,5,16,76.19047619047619,7,5,58,89.23076923076924,2,1,9,81.81818181818183
2,2,0,0,0.0,2,0,0,0.0,3,1,2,40.0,0,1,2,100.0,1,1,5,83.33333333333334,2,1,5,71.42857142857143,1,1,3,75.0,2,0,0,0.0,6,0,0,0.0,0,0,0,0.0
3,3,1,2,40.0,5,1,3,37.5,2,0,0,0.0,0,0,0,0.0,1,1,2,66.66666666666666,5,0,0,0.0,4,3,6,60.0,4,0,0,0.0,8,3,6,42.85714285714285,1,0,0,0.0
4,2,0,0,0.0,6,0,0,0.0,4,1,2,33.33333333333333,1,0,0,0.0,6,1,2,25.0,8,2,5,38.46153846153847,11,1,2,15.384615384615383,9,1,2,18.181818181818183,8,1,2,20.0,5,0,0,0.0
5,9,0,0,0.0,4,0,0,0.0,5,1,2,28.57142857142857,2,0,0,0.0,7,0,0,0.0,7,1,2,22.22222222222222,22,1,2,8.333333333333332,16,2,4,20.0,17,1,2,10.526315789473683,4,1,2,33.33333333333333
6,8,1,5,38.46153846153847,8,1,2,20.0,12,2,6,33.33333333333333,4,0,0,0.0,12,0,0,0.0,9,2,4,30.76923076923077,18,5,12,40.0,22,3,8,26.666666666666668,10,5,12,54.54545454545454,5,1,2,28.57142857142857
7,14,4,8,36.36363636363637,13,2,5,27.77777777777778,16,4,10,38.46153846153847,8,0,0,0.0,16,1,3,15.789473684210526,17,3,6,26.08695652173913,24,9,22,47.82608695652174,38,6,12,24.0,15,3,7,31.818181818181817,8,2,4,33.33333333333333
8,20,4,9,31.03448275862069,19,3,9,32.142857142857146,27,4,8,22.857142857142858,14,0,0,0.0,23,5,11,32.35294117647059,21,6,17,44.73684210526316,40,10,32,44.44444444444444,50,10,28,35.8974358974359,19,5,13,40.625,14,3,9,39.130434782608695
9,33,6,14,29.78723404255319,22,4,8,26.666666666666668,37,5,15,28.846153846153843,19,1,6,24.0,29,8,21,42.0,29,7,19,39.58333333333333,52,14,42,44.680851063829785,65,14,34,34.34343434343434,29,8,23,44.230769230769226,25,5,13,34.21052631578947
