Unnamed: 0,single,cluster,total_cell_in_cluster,cell_ratio,single.1,cluster.1,total_cell_in_cluster.1,cell_ratio.1,single.1.1,cluster.1.1,total_cell_in_cluster.1.1,cell_ratio.1.1,single.1.1.1,cluster.1.1.1,total_cell_in_cluster.1.1.1,cell_ratio.1.1.1,single.1.1.1.1,cluster.1.1.1.1,total_cell_in_cluster.1.1.1.1,cell_ratio.1.1.1.1,single.1.1.1.1.1,cluster.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1,cell_ratio.1.1.1.1.1,single.1.1.1.1.1.1,cluster.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1,single.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1,single,cluster,total_cell_in_cluster,cell_ratio
0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0
1,5,4,23,82.14285714285714,6,2,17,73.91304347826086,3,6,27,90.0,3,4,10,76.92307692307693,3,3,10,76.92307692307693,4,3,19,82.6086956521739,2,2,31,93.93939393939394,7,3,14,66.66666666666666,4,0,0,0.0,2,2,10,83.33333333333334
2,5,1,2,28.57142857142857,1,0,0,0.0,4,1,6,60.0,3,1,3,50.0,1,1,4,80.0,0,1,13,100.0,2,2,4,66.66666666666666,6,3,6,50.0,3,1,2,40.0,4,2,4,50.0
3,3,1,2,40.0,0,0,0,0.0,2,0,0,0.0,4,1,3,42.85714285714285,4,1,2,33.33333333333333,0,0,0,0.0,5,0,0,0.0,5,0,0,0.0,5,0,0,0.0,5,0,0,0.0
4,6,1,4,40.0,4,0,0,0.0,10,0,0,0.0,5,1,2,28.57142857142857,5,2,4,44.44444444444444,5,0,0,0.0,6,1,2,25.0,8,0,0,0.0,6,0,0,0.0,3,2,4,57.14285714285714
5,10,2,4,28.57142857142857,4,1,2,33.33333333333333,7,2,4,36.36363636363637,9,1,2,18.181818181818183,8,1,2,20.0,8,0,0,0.0,7,0,0,0.0,11,0,0,0.0,7,0,0,0.0,10,1,2,16.666666666666664
6,18,2,5,21.73913043478261,6,1,2,25.0,11,2,4,26.666666666666668,13,1,2,13.333333333333334,10,4,9,47.368421052631575,11,1,3,21.428571428571427,12,1,3,20.0,15,0,0,0.0,11,2,4,26.666666666666668,12,2,5,29.411764705882355
7,31,3,12,27.906976744186046,8,3,7,46.66666666666666,18,4,14,43.75,18,3,7,28.000000000000004,21,4,10,32.25806451612903,16,0,0,0.0,11,4,9,45.0,18,4,8,30.76923076923077,9,6,13,59.09090909090909,14,2,4,22.22222222222222
8,40,6,15,27.27272727272727,13,1,2,13.333333333333334,25,6,15,37.5,31,5,13,29.545454545454547,25,6,18,41.86046511627907,21,2,4,16.0,17,3,6,26.08695652173913,36,1,2,5.263157894736842,11,4,11,50.0,20,6,16,44.44444444444444
9,57,12,34,37.362637362637365,12,6,14,53.84615384615385,37,11,32,46.3768115942029,38,11,30,44.11764705882353,35,10,25,41.66666666666667,34,6,15,30.612244897959183,26,3,14,35.0,28,9,20,41.66666666666667,25,8,19,43.18181818181818,32,6,17,34.69387755102041
