Unnamed: 0,single,cluster,total_cell_in_cluster,cell_ratio,single.1,cluster.1,total_cell_in_cluster.1,cell_ratio.1,single.1.1,cluster.1.1,total_cell_in_cluster.1.1,cell_ratio.1.1,single.1.1.1,cluster.1.1.1,total_cell_in_cluster.1.1.1,cell_ratio.1.1.1,single.1.1.1.1,cluster.1.1.1.1,total_cell_in_cluster.1.1.1.1,cell_ratio.1.1.1.1,single.1.1.1.1.1,cluster.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1,cell_ratio.1.1.1.1.1,single.1.1.1.1.1.1,cluster.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1,single.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1,single,cluster,total_cell_in_cluster,cell_ratio
0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0
1,3,0,0,0.0,2,3,16,88.88888888888889,8,3,13,61.90476190476191,1,7,57,98.27586206896552,2,4,36,94.73684210526316,4,4,21,84.0,3,5,24,88.88888888888889,2,3,23,92.0,2,2,7,77.77777777777779,3,4,22,88.0
2,1,3,30,96.7741935483871,1,0,0,0.0,2,2,11,84.61538461538461,1,0,0,0.0,2,2,34,94.44444444444444,1,2,4,80.0,3,1,3,50.0,1,1,16,94.11764705882352,3,0,0,0.0,0,1,2,100.0
3,4,0,0,0.0,2,1,3,60.0,1,2,4,80.0,4,1,3,42.85714285714285,4,0,0,0.0,4,1,2,33.33333333333333,3,1,2,40.0,5,0,0,0.0,0,1,3,100.0,2,1,3,60.0
4,5,2,4,44.44444444444444,2,0,0,0.0,3,1,3,50.0,1,1,2,66.66666666666666,5,0,0,0.0,3,1,5,62.5,0,0,0,0.0,3,0,0,0.0,4,1,2,33.33333333333333,0,2,6,100.0
5,4,2,6,60.0,3,0,0,0.0,4,1,4,50.0,9,2,5,35.714285714285715,6,1,2,25.0,4,1,2,33.33333333333333,5,3,8,61.53846153846154,5,1,3,37.5,4,1,3,42.85714285714285,3,0,0,0.0
6,3,2,4,57.14285714285714,2,3,7,77.77777777777779,8,3,7,46.66666666666666,13,0,0,0.0,5,2,5,50.0,6,2,4,40.0,4,0,0,0.0,9,4,8,47.05882352941176,3,4,8,72.72727272727273,9,0,0,0.0
7,11,3,6,35.294117647058826,5,2,4,44.44444444444444,11,4,8,42.10526315789473,10,2,4,28.57142857142857,10,4,9,47.368421052631575,11,3,12,52.17391304347826,4,5,10,71.42857142857143,3,7,17,85.0,12,1,2,14.285714285714285,6,0,0,0.0
8,9,7,15,62.5,10,3,7,41.17647058823529,17,7,19,52.77777777777778,12,2,5,29.411764705882355,15,7,14,48.27586206896552,6,5,14,70.0,13,6,15,53.57142857142857,14,5,14,50.0,11,1,2,15.384615384615383,7,3,10,58.82352941176471
9,15,8,21,58.333333333333336,9,7,16,64.0,20,8,27,57.44680851063831,13,6,15,53.57142857142857,18,7,19,51.35135135135135,19,6,21,52.5,20,7,16,44.44444444444444,17,9,24,58.53658536585365,17,4,12,41.37931034482759,15,8,21,58.333333333333336
