Unnamed: 0,single,cluster,total_cell_in_cluster,cell_ratio,single.1,cluster.1,total_cell_in_cluster.1,cell_ratio.1,single.1.1,cluster.1.1,total_cell_in_cluster.1.1,cell_ratio.1.1,single.1.1.1,cluster.1.1.1,total_cell_in_cluster.1.1.1,cell_ratio.1.1.1,single.1.1.1.1,cluster.1.1.1.1,total_cell_in_cluster.1.1.1.1,cell_ratio.1.1.1.1,single.1.1.1.1.1,cluster.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1,cell_ratio.1.1.1.1.1,single.1.1.1.1.1.1,cluster.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1,single.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1,single,cluster,total_cell_in_cluster,cell_ratio
0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0
1,4,7,30,88.23529411764706,6,3,8,57.14285714285714,2,8,32,94.11764705882352,2,6,39,95.1219512195122,4,4,10,71.42857142857143,4,1,2,33.33333333333333,5,3,25,83.33333333333334,1,3,10,90.9090909090909,2,3,22,91.66666666666666,4,4,20,83.33333333333334
2,0,0,0,0.0,1,1,4,80.0,2,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0.0,3,0,0,0.0,1,0,0,0.0,2,1,4,66.66666666666666,3,1,6,66.66666666666666
3,2,0,0,0.0,5,0,0,0.0,2,0,0,0.0,2,0,0,0.0,2,0,0,0.0,0,2,4,100.0,1,0,0,0.0,1,0,0,0.0,3,0,0,0.0,3,0,0,0.0
4,3,0,0,0.0,1,1,2,66.66666666666666,2,0,0,0.0,5,0,0,0.0,2,0,0,0.0,1,1,2,66.66666666666666,3,0,0,0.0,0,1,2,100.0,3,1,3,50.0,3,3,8,72.72727272727273
5,8,1,2,20.0,2,1,2,50.0,0,1,2,100.0,1,1,2,66.66666666666666,2,2,5,71.42857142857143,1,2,6,85.71428571428571,5,2,5,50.0,5,0,0,0.0,1,0,0,0.0,6,2,5,45.45454545454545
6,6,0,0,0.0,2,2,5,71.42857142857143,6,1,2,25.0,5,1,2,28.57142857142857,7,3,7,50.0,4,1,2,33.33333333333333,3,2,4,57.14285714285714,2,2,5,71.42857142857143,5,2,4,44.44444444444444,4,3,6,60.0
7,8,6,15,65.21739130434783,2,1,2,50.0,4,2,4,50.0,5,0,0,0.0,8,3,7,46.66666666666666,8,0,0,0.0,5,1,2,28.57142857142857,1,1,2,66.66666666666666,7,2,5,41.66666666666667,10,6,16,61.53846153846154
8,11,3,8,42.10526315789473,3,1,2,40.0,4,3,6,60.0,7,0,0,0.0,6,5,18,75.0,9,3,6,40.0,5,4,12,70.58823529411765,5,3,12,70.58823529411765,6,3,8,57.14285714285714,11,4,13,54.166666666666664
9,15,6,15,50.0,14,4,9,39.130434782608695,8,4,9,52.94117647058824,5,4,9,64.28571428571429,10,7,21,67.74193548387096,7,3,9,56.25,8,4,11,57.89473684210527,5,2,5,50.0,5,4,15,75.0,10,7,19,65.51724137931035
