Unnamed: 0,single,cluster,total_cell_in_cluster,cell_ratio,single.1,cluster.1,total_cell_in_cluster.1,cell_ratio.1,single.1.1,cluster.1.1,total_cell_in_cluster.1.1,cell_ratio.1.1,single.1.1.1,cluster.1.1.1,total_cell_in_cluster.1.1.1,cell_ratio.1.1.1,single.1.1.1.1,cluster.1.1.1.1,total_cell_in_cluster.1.1.1.1,cell_ratio.1.1.1.1,single.1.1.1.1.1,cluster.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1,cell_ratio.1.1.1.1.1,single.1.1.1.1.1.1,cluster.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1,single.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single,cluster,total_cell_in_cluster,cell_ratio
0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0
1,2,3,6,75.0,2,3,51,96.22641509433964,6,2,12,66.66666666666666,3,9,26,89.65517241379311,3,3,16,84.21052631578947,6,4,14,70.0,3,3,31,91.17647058823528,3,3,13,81.25,1,4,32,96.96969696969695,8,2,7,46.66666666666666,2,2,4,66.66666666666666,3,4,23,88.46153846153845,1,1,3,75.0,5,6,49,90.74074074074076,2,1,4,66.66666666666666,1,2,33,97.05882352941175,3,8,66,95.65217391304348,4,3,10,71.42857142857143,4,1,3,42.85714285714285,2,4,22,91.66666666666666
2,1,0,0,0.0,0,0,0,0.0,0,4,12,100.0,3,0,0,0.0,5,2,4,44.44444444444444,2,2,11,84.61538461538461,2,0,0,0.0,1,1,2,66.66666666666666,1,0,0,0.0,4,1,2,33.33333333333333,3,1,6,66.66666666666666,3,0,0,0.0,4,0,0,0.0,1,0,0,0.0,0,1,3,100.0,1,0,0,0.0,2,3,13,86.66666666666667,1,1,4,80.0,2,1,2,50.0,1,0,0,0.0
3,5,0,0,0.0,0,0,0,0.0,5,1,2,28.57142857142857,7,0,0,0.0,6,2,4,40.0,4,0,0,0.0,3,1,4,57.14285714285714,3,1,4,57.14285714285714,0,0,0,0.0,3,1,2,40.0,2,1,2,50.0,5,0,0,0.0,2,0,0,0.0,2,0,0,0.0,0,0,0,0.0,1,0,0,0.0,7,0,0,0.0,1,0,0,0.0,1,0,0,0.0,2,0,0,0.0
4,4,1,3,42.85714285714285,2,0,0,0.0,6,3,10,62.5,3,1,2,40.0,8,2,4,33.33333333333333,6,1,2,25.0,2,1,2,50.0,2,1,2,50.0,2,0,0,0.0,3,1,2,40.0,5,1,2,28.57142857142857,6,0,0,0.0,3,0,0,0.0,4,1,2,33.33333333333333,2,0,0,0.0,1,0,0,0.0,6,1,2,25.0,2,0,0,0.0,6,1,2,25.0,2,2,6,75.0
5,5,3,7,58.333333333333336,4,0,0,0.0,5,4,9,64.28571428571429,6,0,0,0.0,9,1,2,18.181818181818183,8,2,5,38.46153846153847,7,1,2,22.22222222222222,4,0,0,0.0,0,0,0,0.0,4,2,5,55.55555555555556,5,0,0,0.0,5,2,4,44.44444444444444,0,0,0,0.0,4,0,0,0.0,5,1,2,28.57142857142857,5,0,0,0.0,9,2,4,30.76923076923077,4,2,6,60.0,5,2,4,44.44444444444444,10,2,4,28.57142857142857
6,7,1,2,22.22222222222222,3,1,2,40.0,9,2,9,50.0,8,1,2,20.0,18,3,9,33.33333333333333,9,3,6,40.0,7,3,11,61.11111111111112,2,1,2,50.0,4,0,0,0.0,8,4,10,55.55555555555556,5,1,2,28.57142857142857,10,3,6,37.5,3,0,0,0.0,10,0,0,0.0,3,2,4,57.14285714285714,1,1,2,66.66666666666666,6,5,10,62.5,7,0,0,0.0,7,1,3,30.0,9,2,5,35.714285714285715
7,11,1,2,15.384615384615383,5,3,10,66.66666666666666,14,6,18,56.25,10,3,6,37.5,23,3,8,25.806451612903224,14,2,4,22.22222222222222,18,3,7,28.000000000000004,7,0,0,0.0,4,1,3,42.85714285714285,14,3,8,36.36363636363637,8,0,0,0.0,15,3,7,31.818181818181817,3,0,0,0.0,9,3,6,40.0,8,1,2,20.0,3,2,4,57.14285714285714,15,3,6,28.57142857142857,11,3,7,38.88888888888889,13,4,9,40.909090909090914,14,4,8,36.36363636363637
8,16,4,11,40.74074074074074,12,1,2,14.285714285714285,17,6,16,48.48484848484848,12,6,16,57.14285714285714,25,5,12,32.432432432432435,21,3,6,22.22222222222222,16,5,12,42.85714285714285,6,2,5,45.45454545454545,5,2,5,50.0,16,3,7,30.434782608695656,5,5,10,66.66666666666666,20,7,17,45.94594594594595,4,2,4,50.0,11,4,8,42.10526315789473,8,3,7,46.66666666666666,4,3,6,60.0,23,4,10,30.303030303030305,10,9,20,66.66666666666666,15,4,9,37.5,15,6,13,46.42857142857143
9,21,5,10,32.25806451612903,18,4,13,41.935483870967744,25,11,28,52.83018867924528,19,11,25,56.81818181818182,35,9,23,39.6551724137931,28,4,12,30.0,28,7,19,40.42553191489361,11,2,4,26.666666666666668,11,3,8,42.10526315789473,24,7,15,38.46153846153847,19,4,15,44.11764705882353,27,10,25,48.07692307692308,3,3,7,70.0,20,6,19,48.71794871794872,12,7,16,57.14285714285714,5,5,16,76.19047619047619,22,14,37,62.71186440677966,26,8,17,39.53488372093023,21,5,10,32.25806451612903,35,8,17,32.69230769230769
