Unnamed: 0,single,cluster,total_cell_in_cluster,cell_ratio,single.1,cluster.1,total_cell_in_cluster.1,cell_ratio.1,single.1.1,cluster.1.1,total_cell_in_cluster.1.1,cell_ratio.1.1,single.1.1.1,cluster.1.1.1,total_cell_in_cluster.1.1.1,cell_ratio.1.1.1,single.1.1.1.1,cluster.1.1.1.1,total_cell_in_cluster.1.1.1.1,cell_ratio.1.1.1.1,single.1.1.1.1.1,cluster.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1,cell_ratio.1.1.1.1.1,single.1.1.1.1.1.1,cluster.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1,single.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total_cell_in_cluster.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,cell_ratio.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,single,cluster,total_cell_in_cluster,cell_ratio
0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0,0,3,61,100.0
1,2,6,37,94.87179487179486,5,2,7,58.333333333333336,8,4,23,74.19354838709677,4,6,44,91.66666666666666,3,2,4,57.14285714285714,2,5,32,94.11764705882352,4,2,7,63.63636363636363,0,1,13,100.0,3,4,13,81.25,7,4,34,82.92682926829268,4,1,2,33.33333333333333,7,5,49,87.5,5,5,34,87.17948717948718,4,4,25,86.20689655172413,1,1,3,75.0,2,1,2,50.0,5,1,4,44.44444444444444,5,8,52,91.2280701754386,1,6,49,98.0,4,2,6,60.0
2,5,2,5,50.0,3,0,0,0.0,2,0,0,0.0,3,0,0,0.0,2,2,4,66.66666666666666,4,0,0,0.0,3,1,3,50.0,2,0,0,0.0,3,0,0,0.0,4,0,0,0.0,3,0,0,0.0,2,1,2,50.0,2,3,9,81.81818181818183,1,2,4,80.0,2,0,0,0.0,4,0,0,0.0,3,0,0,0.0,3,1,2,40.0,1,1,2,66.66666666666666,2,0,0,0.0
3,3,0,0,0.0,6,0,0,0.0,7,0,0,0.0,3,1,2,40.0,1,1,2,66.66666666666666,2,3,6,75.0,4,2,5,55.55555555555556,0,0,0,0.0,1,1,5,83.33333333333334,5,0,0,0.0,2,0,0,0.0,3,1,2,40.0,3,1,2,40.0,2,2,4,66.66666666666666,0,2,4,100.0,6,2,6,50.0,1,0,0,0.0,7,0,0,0.0,2,1,2,50.0,3,0,0,0.0
4,8,1,2,20.0,8,1,2,20.0,5,0,0,0.0,5,2,8,61.53846153846154,3,1,2,40.0,1,1,2,66.66666666666666,6,1,2,25.0,1,0,0,0.0,3,1,2,40.0,4,0,0,0.0,6,1,3,33.33333333333333,4,2,4,50.0,7,3,6,46.15384615384615,6,0,0,0.0,5,0,0,0.0,11,0,0,0.0,5,0,0,0.0,5,1,2,28.57142857142857,4,0,0,0.0,7,2,4,36.36363636363637
5,11,2,5,31.25,13,2,4,23.52941176470588,5,2,4,44.44444444444444,9,3,7,43.75,7,1,2,22.22222222222222,3,0,0,0.0,14,1,2,12.5,5,1,2,28.57142857142857,4,3,7,63.63636363636363,9,0,0,0.0,5,1,2,28.57142857142857,7,2,4,36.36363636363637,8,2,4,33.33333333333333,7,0,0,0.0,9,2,6,40.0,18,4,8,30.76923076923077,5,1,2,28.57142857142857,11,1,2,15.384615384615383,5,1,2,28.57142857142857,14,1,2,12.5
6,15,3,6,28.57142857142857,22,3,6,21.428571428571427,11,1,2,15.384615384615383,13,6,12,48.0,6,2,4,40.0,7,2,4,36.36363636363637,23,3,6,20.6896551724138,8,0,0,0.0,10,0,0,0.0,14,2,4,22.22222222222222,10,0,0,0.0,18,1,2,10.0,16,2,4,20.0,14,0,0,0.0,10,2,4,28.57142857142857,23,7,14,37.83783783783784,14,0,0,0.0,15,2,6,28.57142857142857,11,2,5,31.25,15,1,3,16.666666666666664
7,24,6,13,35.13513513513514,25,6,16,39.02439024390244,17,3,6,26.08695652173913,22,6,15,40.54054054054054,11,3,6,35.294117647058826,13,1,2,13.333333333333334,26,4,10,27.77777777777778,9,4,9,50.0,10,2,7,41.17647058823529,16,6,17,51.51515151515152,15,3,6,28.57142857142857,21,3,6,22.22222222222222,18,6,15,45.45454545454545,18,3,6,25.0,20,3,6,23.07692307692308,25,9,22,46.80851063829788,21,1,2,8.695652173913043,22,3,6,21.428571428571427,12,3,8,40.0,28,3,6,17.647058823529413
8,31,9,22,41.50943396226416,36,11,30,45.45454545454545,28,3,9,24.324324324324326,35,9,20,36.36363636363637,23,6,16,41.02564102564102,25,3,7,21.875,34,8,19,35.84905660377358,10,2,4,28.57142857142857,15,1,6,28.57142857142857,30,5,10,25.0,21,3,8,27.58620689655172,30,4,9,23.07692307692308,26,11,30,53.57142857142857,39,3,9,18.75,23,4,8,25.806451612903224,37,11,32,46.3768115942029,24,3,8,25.0,26,12,28,51.85185185185185,21,3,6,22.22222222222222,34,5,15,30.612244897959183
9,47,14,35,42.68292682926829,47,15,56,54.36893203883495,38,7,16,29.629629629629623,55,12,29,34.523809523809526,25,14,42,62.68656716417911,30,5,11,26.82926829268293,37,15,46,55.42168674698795,16,7,16,50.0,26,5,16,38.095238095238095,30,17,40,57.14285714285714,32,6,18,36.0,35,9,22,38.59649122807017,39,11,38,49.35064935064935,47,11,32,40.50632911392405,28,7,18,39.130434782608695,49,15,48,49.48453608247423,42,5,15,26.31578947368421,37,10,32,46.3768115942029,33,6,12,26.666666666666668,39,11,32,45.07042253521127
